Date,Close
2018-01-18,40.27
2018-01-19,42.56
2018-01-22,45.29
2018-01-23,45.01
2018-01-24,44.32
2018-01-25,45.12
2018-01-26,45.97
2018-01-29,45.43
2018-01-30,45.52
2018-01-31,46.91
2018-02-01,44.45
2018-02-02,43.61
2018-02-05,41.02
2018-02-06,41.61
2018-02-07,41.67
2018-02-08,39.5
2018-02-09,39.57
2018-02-12,39.92
2018-02-13,42.11
2018-02-14,41.85
2018-02-15,44.29
2018-02-16,44.11
2018-02-20,44.93
2018-02-21,44.1
2018-02-22,44.9
2018-02-23,44.86
2018-02-26,46.55
2018-02-27,45.91
2018-02-28,46.05
2018-03-01,46.01
2018-03-02,46.02
2018-03-05,50.42
2018-03-06,49.6
2018-03-07,50.72
2018-03-08,52.25
2018-03-09,52.49
2018-03-12,53.19
2018-03-13,51.83
2018-03-14,54.61
2018-03-15,54.84
2018-03-16,54.89
2018-03-19,54.58
2018-03-20,57.69
2018-03-21,57.09
2018-03-22,55.16
2018-03-23,51.67
2018-03-26,53.55
2018-03-27,51.06
2018-03-28,47.39
2018-03-29,49.2
2018-04-02,47.68
2018-04-03,47.58
2018-04-04,47.67
2018-04-05,48.02
2018-04-06,45.87
2018-04-09,45.89
2018-04-10,47.8
2018-04-11,47.76
2018-04-12,49.69
2018-04-13,47.5
2018-04-16,47.03
2018-04-17,49.13
2018-04-18,51.38
2018-04-19,50.63
2018-04-20,51.46
2018-04-23,50.35
2018-04-24,46.01
2018-04-25,44.75
2018-04-26,46.74
2018-04-27,47.57
2018-04-30,47.34
2018-05-01,48.2
2018-05-02,48.66
2018-05-03,49.21
2018-05-04,49.1
2018-05-07,51.12
2018-05-08,53.32
2018-05-09,54.26
2018-05-10,54.65
2018-05-11,54.73
2018-05-14,54.28
2018-05-15,54.65
2018-05-16,56.59
2018-05-17,54.82
2018-05-18,55.04
2018-05-21,56.39
2018-05-22,54.63
2018-05-23,55.09
2018-05-24,55.55
2018-05-25,55.77
2018-05-29,56.92
2018-05-30,57.91
2018-05-31,58.25
2018-06-01,59.41
2018-06-04,61.2
2018-06-05,61.57
2018-06-06,62.72
2018-06-07,60.67
2018-06-08,61.78
2018-06-11,61.29
2018-06-12,63.21
2018-06-13,62.5
2018-06-14,63.88
2018-06-15,64.48
2018-06-18,66.2
2018-06-19,65.96
2018-06-20,67.59
2018-06-21,67.1
2018-06-22,65.75
2018-06-25,61.89
2018-06-26,62.55
2018-06-27,60.09
2018-06-28,61.55
2018-06-29,61.64
2018-07-02,63.14
2018-07-03,61.75
2018-07-05,64.15
2018-07-06,66.44
2018-07-09,66.48
2018-07-10,64.76
2018-07-11,65.33
2018-07-12,67.28
2018-07-13,66.97
2018-07-16,66.95
2018-07-17,68.33
2018-07-18,68.29
2018-07-19,70.32
2018-07-20,70.41
2018-07-23,71.6
2018-07-24,69.36
2018-07-25,72.53
2018-07-26,71.99
2018-07-27,69.85
2018-07-30,65.62
2018-07-31,64.65
2018-08-01,66.86
2018-08-02,72.65
2018-08-03,68.36
2018-08-06,70.92
2018-08-07,71
2018-08-08,70.82
2018-08-09,69.38
2018-08-10,70.6
2018-08-13,72.37
2018-08-14,74.97
2018-08-15,72.24
2018-08-16,72.76
2018-08-17,72.9
2018-08-20,74.26
2018-08-21,75.19
2018-08-22,76.44
2018-08-23,77.12
2018-08-24,78.18
2018-08-27,78.25
2018-08-28,80.8
2018-08-29,85.7
2018-08-30,87.76
2018-08-31,88.64
2018-09-04,91.25
2018-09-05,87.2
2018-09-06,88.54
2018-09-07,89.97
2018-09-10,89.39
2018-09-11,92.28
2018-09-12,90.44
2018-09-13,90.22
2018-09-14,90.82
2018-09-17,86.86
2018-09-18,87.99
2018-09-19,84.8
2018-09-20,86.51
2018-09-21,85.3
2018-09-24,86.04
2018-09-25,95.35
2018-09-26,94.65
2018-09-27,97.96
2018-09-28,99.01
2018-10-01,97.28
2018-10-02,97.83
2018-10-03,96.96
2018-10-04,94.49
2018-10-05,94.11
2018-10-08,86.06
2018-10-09,86.17
2018-10-10,77.45
2018-10-11,69.03
2018-10-12,73.97
2018-10-15,73.77
2018-10-16,78.72
2018-10-17,78.05
2018-10-18,74.96
2018-10-19,74.07
2018-10-22,75.72
2018-10-23,74.15
2018-10-24,69.34
2018-10-25,73.49
2018-10-26,71.12
2018-10-29,67.28
2018-10-30,68.76
2018-10-31,73.45
2018-11-01,76.74
2018-11-02,77.76
2018-11-05,75.01
2018-11-06,77.31
2018-11-07,82.69
2018-11-08,75.23
2018-11-09,73.27
2018-11-12,69.83
2018-11-13,71.85
2018-11-14,69.81
2018-11-15,73.6
2018-11-16,70.59
2018-11-19,62.97
2018-11-20,61.82
2018-11-21,62.62
2018-11-23,63.47
2018-11-26,66.52
2018-11-27,65.88
2018-11-28,69.89
2018-11-29,69.9
2018-11-30,69.84
2018-12-03,71.95
2018-12-04,63.51
2018-12-06,65.69
2018-12-07,60.78
2018-12-10,63.38
2018-12-11,61.78
2018-12-12,63.65
2018-12-13,62.9
2018-12-14,62.14
2018-12-17,58.62
2018-12-18,59.92
2018-12-19,59.03
2018-12-20,55.9
2018-12-21,52.51
2018-12-24,50.72
2018-12-26,55.32
2018-12-27,56.15
2018-12-28,55.87
2018-12-31,56.09
2019-01-02,57.2
2019-01-03,52.42
2019-01-04,58.18
2019-01-07,60.72
2019-01-08,63.12
2019-01-09,65.93
2019-01-10,66.1
2019-01-11,66.23
2019-01-14,65.18
2019-01-15,65.96
2019-01-16,65.9
2019-01-17,68.84
2019-01-18,72.24
2019-01-22,67.85
2019-01-23,69.1
2019-01-24,73.94
2019-01-25,77.97
2019-01-28,76.22
2019-01-29,68.56
2019-01-30,71.53
2019-01-31,71.35
2019-02-01,70.8
2019-02-04,71.75
2019-02-05,72.28
2019-02-06,72.67
2019-02-07,71.95
2019-02-08,73.49
2019-02-11,74.32
2019-02-12,75.59
2019-02-13,75.63
2019-02-14,75.67
2019-02-15,75.64
2019-02-19,76.64
2019-02-20,75.97
2019-02-21,74.43
2019-02-22,76.08
2019-02-25,77.13
2019-02-26,77.95
2019-02-27,79.32
2019-02-28,81.24
2019-03-01,77.46
2019-03-04,74.69
2019-03-05,76.04
2019-03-06,75.14
2019-03-07,74.11
2019-03-08,74.4
2019-03-11,75.53
2019-03-12,76.77
2019-03-13,77.85
2019-03-14,77.38
2019-03-15,76.65
2019-03-18,75.23
2019-03-19,76.81
2019-03-20,75.26
2019-03-21,78.53
2019-03-22,75.09
2019-03-25,74.55
2019-03-26,73.93
2019-03-27,72.97
2019-03-28,74.26
2019-03-29,74.92
2019-04-01,76.32
2019-04-02,75.6
2019-04-03,77.05
2019-04-04,74.52
2019-04-05,75.03
2019-04-08,75
2019-04-09,74.6
2019-04-10,74.74
2019-04-11,75.5
2019-04-12,75.28
2019-04-15,74.39
2019-04-16,73.49
2019-04-17,72.76
2019-04-18,70.74
2019-04-22,72.58
2019-04-23,72.45
2019-04-24,71.99
2019-04-25,72.65
2019-04-26,71.55
2019-04-29,72.72
